aba 阿爸
anshenliming 安身立命
ansheng 安生
anshi 暗室
anshui 氨水
antai 安泰
antuzhongqian 安土重迁
anwei 安危
anwen 安稳
anxi 暗喜
anxian 暗线
anxiang 安享
anxie 安歇
anxin 安心
anyang 安养
anyi 安逸
anying 安营
anyingzhazhai 安营扎寨
anyu 暗喻
anzang 安葬
anzhiruosu 安之若素
anzhi 案值
anzhuang 安装
anpei 安培
anpinledao 安贫乐道
anqier 安琪儿
anshu 谙熟
anjisuan 氨基酸
anqi 暗器
antang 庵堂
anlian 谙练
anchun 鹌鹑
anma 鞍马
anmalaodun 鞍马劳顿
anqianmahou 鞍前马后
anzi 鞍子
anzhao 按照
anmai 按脉
anbingbudong 按兵不动
anbujiuban 按部就班
anjie 按揭
anli 按例
anmo 按摩
anna 按捺
anniu 按钮
anshuo 按说
antusuoji 按图索骥
anya 按压
antou 案头
anban 案板
anfa 案发
anfan 案犯
anjuan 案卷
anqing 案情
anyou 案由
ancang 暗藏
anchang 暗场
anchao 暗潮
anchu 暗处
andan 暗淡
anbu 暗补
andao 暗道
andili 暗地里
angou 暗沟
anhai 暗害
anhan 暗含
anhe 暗盒
anhong 暗红
anji 暗疾
anjiao 暗礁
ankouer 暗扣儿
anliu 暗流
anlv 暗绿
ansha 暗杀
anshang 暗伤
anshao 暗哨
ansongqiubo 暗送秋波
ansuan 暗算
ansuo 暗锁
antan 暗探
anwutianri 暗无天日
anxiangcaozuo 暗箱操作
anxiao 暗笑
anzhong 暗中
anzhuan 暗转
anan 暗暗
anbao 暗堡
anranshenshang 黯然神伤
anranshise 黯然失色
angzang 肮脏
ang 昂
anggui 昂贵
angran 昂然
angshou 昂首
angshoukuobu 昂首阔步
angyang 昂扬
angsi 盎司
ao 獒
aoban 凹版
aojing 凹镜
aomian 凹面
aotu 凹凸
aoxian 凹陷
aobao 敖包
aoao 嗷嗷
aoaodaibu 嗷嗷待哺
aoyou 遨游
aochutou 熬出头
aojian 熬煎
aoye 熬夜
aoxiang 翱翔
aozhan 鏖战
aokou 拗口
aoran 傲然
aoan 傲岸
aogu 傲骨
aoman 傲慢
aoqi 傲气
aoshi 傲世
aoyuan 奥援
aoyunhui 奥运会
aomiao 奥妙
aoweihui 奥委会
aomi 奥秘
aodaliya 澳大利亚
aokang 澳抗
aomen 澳门
aozhou 澳洲
aohui 懊悔
aonao 懊恼
aosang 懊丧
aozi 鏊子
ba 耙
babaizhijiao 八拜之交
babaofan 八宝饭
babaozhou 八宝粥
babeizi 八辈子
bacheng 八成
bafang 八方
bage 八哥
bagu 八股
bagua 八卦
baguazhang 八卦掌
bajiao 把角
bajiaomao 八角帽
bajiaoxing 八角形
balu 八路
balujun 八路军
bamianlinglong 八面玲珑
bamianweifeng 八面威风
baqi 霸气
baxian 八仙
baxianguohai 八仙过海
baxianzhuo 八仙桌
bayi 八一
bayinhe 八音盒
bayuejie 八月节
bazi 坝子
bazibu 八字步
bazihu 八字胡
bazijiao 八字脚
bazimei 八字眉
bazixing 八字形
baba 巴巴
babilun 巴比伦
babude 巴不得
badou 笆斗
baergou 巴儿狗
bajisitan 巴基斯坦
bajie 拔节
bali 巴黎
bashanshushui 巴山蜀水
bashi 霸市
bawang 巴望
bazhang 巴掌
bache 扒车
bala 扒拉
bapi 扒皮
bada 吧嗒
baji 坝基
banv 吧女
batai 吧台
bajiaoshan 芭蕉扇
balei 芭蕾
baleiwu 芭蕾舞
bahen 疤痕
baguanzi 拔罐子
batui 拔腿
babu 拔步
bachu 拔除
badaoxiangzhu 拔刀相助
badierqi 拔地而起
bagao 拔高
bahe 拔河
bahuoguan 拔火罐
bajian 拔尖
bamao 拔锚
bamiaozhuzhang 拔苗助长
baqu 拔取
basi 拔丝
baying 拔营
bazhuo 拔擢
bashansheshui 跋山涉水
bashe 跋涉
bawen 跋文
bahu 跋扈
bachi 把持
babing 把柄
baduo 把舵
baer 把儿
bafeng 把风
baguan 罢官
bajia 把家
bajiu 把酒
bakouer 把口儿
balan 把揽
balao 把牢
bamai 把脉
bamen 把门
baniao 把尿
bashou 罢手
bashuijiaohun 把水搅浑
batou 把头
bawan 把玩
bawo 把握
baxi 把戏
baxiongdi 把兄弟
bazhan 罢战
bachang 靶场
baxin 靶心
badi 耙地
bashen 坝身
bazhi 坝址
bagong 罢工
bake 罢课
bale 罢了
baliao 罢了
bamian 罢免
basai 罢赛
baxiu 罢休
bayan 罢演
bayu 鲅鱼
baye 霸业
badao 霸道
baquan 霸权
bawangbian 霸王鞭
bazhu 霸主
bai 佰
baikai 掰开
baiwanzi 掰腕子
baifan 白矾
baise 白色
baitang 白汤
baitong 白铜
baixueqiu 白血球
baiban 白板
baicu 白醋
baiaiai 白皑皑
baian 白案
baibai 白白
baibaozhi 白报纸
baibiweixia 白璧微瑕
baibiwuxia 白璧无瑕
baicai 白菜
baichaer 白茬儿
baichi 白痴
baichideng 白炽灯
baida 白搭
baidagua 白大褂
baidai 白带
baidao 白道
baidi 白地
baidianfeng 白癜风
baiding 白丁
baie 白垩
baifa 白发
baifei 白费
baifeila 白费蜡
baifen 白粉
baifenbing 白粉病
baiganer 白干儿
baigong 白宫
baigu 白骨
baigujing 白骨精
baiguan 拜官
baiguo 白果
baihe 拜贺
baihou 白喉
baihu 白狐
baihua 白桦
baihuahua 白花花
baihuabing 白化病
baihuashi 白话诗
baihuawen 白话文
baihuanghuang 白晃晃
baihui 白灰
baijin 拜金
baijinhangong 白金汉宫
baijing 白净
baijiu 摆酒
baijuguoxi 白驹过隙
baijuan 白卷
baikaishui 白开水
baila 白蜡
bailandi 白兰地
bailangua 白兰瓜
bailanhua 白兰花
baili 白痢
bailian 白鲢
bailing 拜领
bailu 白露
baimawangzi 白马王子
baimangmang 白茫茫
baimengmeng 白蒙蒙
baimi 白米
baimian 白面
baimianer 白面儿
baimianshusheng 白面书生
baimiao 白描
baimo 白沫
baimuer 白木耳
baineizhang 白内障
bainen 白嫩
baipang 白胖
baipishu 白皮书
baipisong 白皮松
baiqi 白旗
baiqitun 白鳍豚
bairao 白饶
baire 白热
bairehua 白热化
bairen 白刃
bairi 白日
bairimeng 白日梦
bairizuomeng 白日做梦
bairou 白肉
bairun 白润
baisekongbu 白色恐怖
baiselaji 白色垃圾
baisewuran 白色污染
baishengsheng 白生生
baishi 白食
baishouqijia 白手起家
baishu 白薯
baishui 白水
baitian 白天
baitiane 白天鹅
baitiao 白条
baitiaozhu 白条猪
baitiaozi 白条子
baitie 白铁
baitiepi 白铁皮
baiting 白厅
baitou 白头
baitouweng 白头翁
baitouxielao 白头偕老
baiwaner 白玩儿
baiwen 白文
baixi 白皙
baixibao 白细胞
baixiong 白熊
baixuebing 白血病
baiyan 白眼
baiyanerlang 白眼儿狼
baiyanzhu 白眼珠
baiyang 白杨
baiyao 白药
baiye 百叶
baiyitianshi 白衣天使
baiyi 白蚁
baiyin 白银
baiyu 白玉
baiyulan 白玉兰
baiyun 白云
baizhanji 白斩鸡
baizhi 白芷
baizhiheizi 白纸黑字
baizhongren 白种人
baizhou 白昼
baizhuo 白浊
baizi 稗子
baizu 白族
baizhanbaisheng 百战百胜
baibaoxiang 百宝箱
baibei 败北
baibing 败兵
baibuchuanyang 百步穿杨
baichigantou 百尺竿头
baierbashi 百儿八十
baifabaizhong 百发百中
baifeidaixing 百废待兴
baifenbi 百分比
baifendian 百分点
baifenlv 百分率
baifenshu 百分数
baifenzhibai 百分之百
baifenzhi 百分制
baiganjiaoji 百感交集
baihehua 百合花
baihuajiang 百花奖
baihuaqifang 百花齐放
baihuo 败火
baijiaxing 百家姓
baijiazhengming 百家争鸣
baikequanshu 百科全书
baikongqianchuang 百孔千疮
baikoumobian 百口莫辩
bailitiaoyi 百里挑一
baimang 百忙
bainian 拜年
bainianbuyu 百年不遇
bainiandaji 百年大计
bairike 百日咳
baishitong 百事通
baisibujie 百思不解
baiwan 百万
baiwenburuyijian 百闻不如一见
baiwujinji 百无禁忌
baiwuliaolai 百无聊赖
baixing 败兴
baiyechuang 百叶窗
baiyibaishun 百依百顺
baizhanbudai 百战不殆
baizhebuhui 百折不回
baizhebunao 百折不挠
baizhequn 百褶裙
baiyou 柏油
baiyoulu 柏油路
baikuo 摆阔
baituo 拜托
baibu 摆布
baidang 摆荡
baidong 摆动
baidu 败毒
baifang 摆放
baijiazi 摆架子
baijian 摆件
baileitai 摆擂台
bailie 摆列
bailongmenzhen 摆龙门阵
bainong 摆弄
baiping 摆平
baipuer 摆谱儿
baishe 摆设
baitaner 摆摊儿
baiyangzi 摆样子
baizheng 摆正
baibi 败笔
baicao 败草
baihuai 败坏
baiji 败绩
baijia 败家
baijiang 败将
baiju 败局
baijun 败军
bailei 败类
bailuo 败落
baisu 败诉
baitui 败退
baiwang 拜望
baixiang 败象
baixu 败絮
baixuezheng 败血症
baizhang 败仗
baizhen 败阵
baibazi 拜把子
baibie 拜别
baici 拜辞
baifo 拜佛
baifu 拜服
baijinzhuyi 拜金主义
baike 拜客
baiqing 拜请
baishou 拜寿
baitiandi 拜天地
baiwujiao 拜物教
baixie 拜谢
baiguanyeshi 稗官野史
ban 癍
bandao 扳道
bandong 扳动
banji 扳机
banshou 扳手
banzi 扳子
banlun 班轮
banchan 班禅
banchang 伴唱
banche 班车
banci 班次
bandi 班底
banfang 板房
banhui 班会
banmennongfu 班门弄斧
banqi 班期
banshi 板式
banzhuren 班主任
banzu 班组
banpei 般配
banfa 颁发
banbu 颁布
banjiang 颁奖
banxing 颁行
banjiu 斑鸠
banbai 半百
banban 斑斑
banbo 斑驳
banboluli 斑驳陆离
bandian 斑点
banhen 斑痕
banlan 斑斓
banma 斑马
banmaxian 斑马线
banmao 斑蝥
bantu 斑秃
banwen 斑纹
banzhu 斑竹
banbing 搬兵
banjia 半价
bannong 搬弄
banqian 搬迁
banyi 搬移
banyong 搬用
banyun 搬运
banbao 半饱
banbi 板壁
bancaer 板擦儿
bancai 板材
banchuang 板床
bandeng 板凳
banfu 板斧
banhu 板胡
banjie 板结
bankuai 板块
banlangen 板蓝根
banli 板栗
banlian 板脸
banpu 板铺
banqiu 板球
banshangdingding 板上钉钉
banshu 板书
banshua 板刷
bantiao 板条
banya 板牙
banyan 板眼
banyou 板油
banzhang 板障
banzhi 板滞
banben 版本
banhua 版画
banmian 版面
banquan 版权
banquanye 版权页
banshui 版税
banshichu 办事处
banan 办案
banchai 办差
bangong 办公
bangonglou 办公楼
bangongshi 办公室
bangongting 办公厅
bangongzhuo 办公桌
banhuo 办货
banshiyuan 办事员
banxue 办学
banzui 办罪
banbiantian 半边天
banhan 半酣
banpiao 半票
banbanlala 半半拉拉
banbeizi 半辈子
banbian 半边
banchengpin 半成品
bandabuxiao 半大不小
bandaoti 半导体
bandianer 半点儿
bandiaozi 半吊子
banfengjian 半封建
banguanfang 半官方
banjinbaliang 半斤八两
banjing 半径
banjuesai 半决赛
bankong 半空
banlaoxuniang 半老徐娘
banlu 半路
banluchujia 半路出家
banpingcu 半瓶醋
banpo 半坡
banshanyao 半山腰
banshenbusui 半身不遂
banshenxiang 半身像
bansheng 半生
banshengbushu 半生不熟
bansi 半死
bansibuhuo 半死不活
bantian 半天
bantouming 半透明
bantuerfei 半途而废
bantuibanjiu 半推半就
bantuochan 半脱产
banwenmang 半文盲
banxinbujiu 半新不旧
banxinbanyi 半信半疑
banxiu 半休
banyao 半腰
banye 半夜
banyesangeng 半夜三更
banyuan 半圆
banyuanxing 半圆形
banyuekan 半月刊
banyuexing 半月形
banzai 半载
banzhimindi 半殖民地
banzhongjian 半中间
banzhongyao 半中腰
banzidong 半自动
bandu 伴读
banlang 伴郎
banlv 伴侣
banniang 伴娘
bansui 伴随
bantong 伴同
banwu 伴舞
banyin 伴音
banzou 伴奏
banku 扮酷
banxiang 扮相
banzhuang 扮装
banzuo 扮作
banliao 拌料
banzhong 拌种
baner 绊儿
banjiao 绊脚
banjiaoshi 绊脚石
banmasuo 绊马索
banmo 瓣膜
bangjiao 帮教
banglian 邦联
banggui 帮规
bangyong 帮佣
bang 蚌
bangban 帮办
bangbu 帮补
bangchen 帮衬
bangchu 帮厨
bangdaomang 帮倒忙
bangfu 绑缚
banggong 帮工
banghui 帮会
bangkun 帮困
bangmang 帮忙
bangpai 帮派
bangqiang 帮腔
bangshou 帮手
bangxian 帮闲
bangxiong 帮凶
bangzhu 帮主
bangzi 帮子
bangying 梆硬
bangjia 绑架
bangdai 绑带
bangfei 绑匪
bangpiao 绑票
bangtui 绑腿
bangza 绑扎
bangshu 榜书
bangwen 榜文
bangyang 榜样
bangbi 膀臂
bangdayaoyuan 膀大腰圆
bangke 蚌壳
bangwan 傍晚
bangwu 傍午
bangyi 傍依
bangcao 棒操
bangchui 棒槌
bangdayuanyang 棒打鸳鸯
banghe 棒喝
bangqiu 棒球
bangtang 棒糖
bangzhen 棒针
bangzimian 棒子面
bangcheng 磅秤
baorong 包容
baoyuaner 包圆儿
bao 煲
baoban 包办
baobi 暴毙
baocang 包藏
baochan 包产
baochang 包场
baochao 爆炒
baoche 包车
baodatianxia 包打天下
baodating 包打听
baofan 包饭
baofang 包房
baofu 暴富
baofupier 包袱皮儿
baoganer 包干儿
baogong 报功
baogongtou 包工头
baoguan 包管
baoguo 报国
baohan 抱憾
baohuan 包换
baohuoer 包活儿
baohuo 包伙
baoji 包机
baojian 包间
baojin 包金
baokuo 包括
baolan 宝蓝
baoluo 包罗
baoluowanxiang 包罗万象
baopei 包赔
baopi 包皮
baopianer 包片儿
baopiao 包票
baoshengong 包身工
baotui 包退
baowei 包围
baoweiquan 包围圈
baoxiang 包厢
baoxiao 报晓
baoxincai 包心菜
baoxiu 报修
baoyang 包养
baoyue 包月
baoyun 包蕴
baoza 包扎
baozhuang 包装
baozhuangxiang 包装箱
baozhuangzhi 包装纸
baozi 雹子
baozu 包租
baodi 保底
baojie 胞姐
baomei 保媒
baoxiong 胞兄
baoxiongdi 胞兄弟
baoyi 胞衣
baoya 龅牙
baobian 褒贬
baoci 褒词
baojiang 褒奖
baozai 雹灾
baobing 刨冰
baocui 薄脆
baodao 宝刀
baobao 宝宝
baobei 宝贝
baobeigeda 宝贝疙瘩
baocha 宝刹
baodian 宝殿
baogaier 宝盖儿
baogui 宝贵
baohao 宝号
baojuan 宝眷
baoku 宝库
baoshan 宝山
baoshi 报失
baoshu 宝书
baota 宝塔
baowu 报务
baoyu 保育
baozang 宝藏
baozhu 宝珠
baozuo 宝座
baocan 饱餐
baogeer 饱嗝儿
baohe 饱和
baojing 饱经
baojingcangsang 饱经沧桑
baojingfengshuang 饱经风霜
baoman 爆满
baoshizhongriwusuoyongxin 饱食终日，无所用心
baoshou 保收
baoxue 饱学
baoyanfu 饱眼福
baozhang 爆仗
baowenbei 保温杯
baoxian 保鲜
baojia 保价
baowenping 保温瓶
baoju 保举
baoquan 抱拳
baoxiandai 保鲜袋
baosong 保送
baoxianji 保鲜剂
baoxiandan 保险单
baoxiandeng 保险灯
baoxianfa 保险法
baoan 报案
baoanzu 保安族
baoben 保本
baobiao 保镖
baobuding 保不定
baobuzhu 保不住
baochi 保持
baocun 保存
baodan 报单
baoguanyuan 保管员
baohu 保护
baohuguo 保护国
baohujia 保护价
baohuren 保护人
baohusan 保护伞
baohuse 保护色
baohuang 保皇
baojiahuhang 保驾护航
baojiancao 保健操
baojianpin 保健品
baojianzhan 保健站
baolingqiu 保龄球
baoliu 保留
baomi 保密
baomiao 保苗
baoming 保命
baomu 报幕
baonuan 保暖
baoren 报人
baoshang 保墒
baoshoupai 保守派
baoshouzhuyi 保守主义
baoshuicangku 保税仓库
baoshuiqu 保税区
baotai 保胎
baowaijiuyi 保外就医
baowen 保温
baoxiangui 保险柜
baoxianqi 保险期
baoxiansi 保险丝
baoxiantao 保险套
baoxianxishu 保险系数
baoxianxiang 保险箱
baoyou 报忧
baoyuyuan 保育院
baozhen 保真
baozheng 暴政
baozhengjin 保证金
baozhengren 保证人
baozhengshu 保证书
baozhi 保值
baozhibaoliang 保质保量
baozhiqi 保质期
baozhong 保种
baozhun 保准
baoer 鸨儿
baolei 堡垒
baoying 报应
baohuaji 报话机
baomuyuan 报幕员
baoyuan 报怨
baozhan 报站
baocheng 报呈
baochou 报仇
baochunhua 报春花
baoda 报答
baode 报德
baoduan 报端
baoen 报恩
baofei 报废
baogao 报告
baogaohui 报告会
baogaowenxue 报告文学
baojingqi 报警器
baokan 报刊
baokao 报考
baoqing 报请
baosang 报丧
baoshe 报社
baoshen 报审
baotan 报摊
baoting 报亭
baotong 报童
baotou 报头
baowuyuan 报务员
baoxi 报喜
baoxin 报信
baoyan 报验
baoye 报业
baobuping 抱不平
baocanshouque 抱残守缺
baofojiao 抱佛脚
baohen 抱恨
baohenzhongtian 抱恨终天
baokui 抱愧
baoqian 抱歉
baoqu 抱屈
baotoushucuan 抱头鼠窜
baotuaner 抱团儿
baowo 抱窝
baodie 暴跌
baodong 暴动
baofa 暴发
baofahu 暴发户
baofeng 暴风
baofengxue 暴风雪
baofengyu 暴风雨
baofengzhouyu 暴风骤雨
baojun 暴君
baoli 暴戾
baolizisui 暴戾恣睢
baolian 暴敛
baolie 暴烈
baolu 暴露
baoluan 暴乱
baonu 暴怒
baonue 暴虐
baoshai 暴晒
baosi 暴死
baotiantianwu 暴殄天物
baotiao 暴跳
baotiaorulei 暴跳如雷
baotu 暴突
baoxing 暴行
baoyinbaoshi 暴饮暴食
baozao 暴躁
baomihua 爆米花
baoduer 爆肚儿
baofali 爆发力
baoleng 爆冷
baolengmen 爆冷门
baopeng 爆棚
baopo 爆破
baoposhou 爆破手
baopotong 爆破筒
baozha 爆炸
baozhali 爆炸力
baozhawu 爆炸物
baozhaxing 爆炸性
baochuang 刨床
baohua 刨花
baohuaban 刨花板
baoguang 曝光
beibi 卑鄙
beigongquxi 卑躬屈膝
beijian 备件
beilie 卑劣
beiqie 卑怯
beisuo 卑琐
beiwei 卑微
beiwu 卑污
beixia 卑下
beizhan 杯盏
beizhongwu 杯中物
beizi 辈子
bei 焙
beigongsheying 杯弓蛇影
beipanlangji 杯盘狼藉
beisai 杯赛
beishuichexin 杯水车薪
beican 悲惨
beiai 悲哀
beichou 悲愁
beichu 悲楚
beichuang 悲怆
beidao 悲悼
beifen 辈分
beige 悲歌
beiguan 悲观
beiguanzhuyi 悲观主义
beihao 悲号
beihuanlihe 悲欢离合
beiju 悲剧
beiku 悲苦
beiliang 悲凉
beimin 悲悯
beiming 碑铭
beiqi 背鳍
beiqiu 悲秋
beishang 悲伤
beisheng 悲声
beisi 悲思
beisuan 悲酸
beitan 悲叹
beiti 悲啼
beitianminren 悲天悯人
beitong 悲恸
beitongyujue 悲痛欲绝
beixiju 悲喜剧
beiye 悲咽
beizhuang 悲壮
beiting 碑亭
beiwen 碑文
beizuo 碑座
beie 碑额
beiji 碑记
beijie 碑碣
beike 碑刻
beilin 碑林
beishen 碑身
beishi 背时
beita 碑拓
beitie 碑帖
beibaofu 背包袱
beidai 背带
beidaiku 背带裤
beidaiqun 背带裙
beidou 背篼
beifu 被覆
beiheiguo 背黑锅
beikuang 背筐
beilou 背篓
beitou 背头
beizhai 背债
beifei 北非
beijixiong 北极熊
beizhou 北周
beihuiguixian 北回归线
beihan 北汉
beibanqiu 北半球
beibian 北边
beibingyang 北冰洋
beibu 背部
beichao 北朝
beijiguang 北极光
beidouxing 北斗星
beifa 北伐
beifang 北房
beijihu 北极狐
beijiquan 北极圈
beifanghua 北方话
beijixing 北极星
beifeng 背风
beiguo 北国
beijiang 北疆
beijing 背静
beijingshijian 北京时间
beijingya 北京鸭
beijingyuanren 北京猿人
beilu 北麓
beimeizhou 北美洲
beimian 被面
beiou 北欧
beiqu 北曲
beisong 北宋
beiwendai 北温带
beiyangjunfa 北洋军阀
beiyue 背约
beidiao 贝雕
beileimao 贝雷帽
beilei 蓓蕾
beimu 贝母
beian 备案
beiban 备办
beibuzhu 备不住
beicha 备查
beifan 备饭
beigeng 备耕
beihuang 备荒
beihuo 备货
beikao 备考
beiliao 备料
beima 备马
beipin 备品
beishou 倍受
beiwang 备忘
beiwanglu 备忘录
beixi 备悉
beiyong 备用
beiyou 备有
beiyuan 备员
beizhi 备置
beizhu 备注
beixin 背心
beibao 背包
beidaoerchi 背道而驰
beidili 背地里
beiduibei 背对背
beiguang 背光
beihou 背后
beijinglixiang 背井离乡
beikaobei 背靠背
beili 被里
beinang 背囊
beipan 背叛
beiren 背人
beishu 倍数
beishuiyizhan 背水一战
beixinqiyi 背信弃义
beiyin 背阴
beiying 背影
beiyun 背运
beilv 倍率
beigan 焙干
beijia 倍加
beizeng 倍增
beilun 悖论
beimiu 悖谬
beini 悖逆
beidan 被单
beici 被刺
beidong 被动
beigao 被告
beihai 被害
beihairen 被害人
beikong 被控
beinan 被难
beipo 被迫
beiru 被褥
beitao 被套
beiwoer 被窝儿
beixu 被絮
beizhao 被罩
beishuer 辈数儿
ben 锛
benbo 笨伯
benchi 奔驰
bencuan 奔窜
benfang 奔放
benfu 奔赴
benliu 奔流
benmang 奔忙
benpao 奔跑
bensang 奔丧
bentao 奔逃
benteng 奔腾
bentu 奔突
benxi 奔袭
benxie 奔泻
benyong 奔涌
benzhu 奔逐
benzou 奔走
benzouhuhao 奔走呼号
benzouxianggao 奔走相告
benmen 贲门
benzi 本字
benneng 本能
benshi 本事
benxian 本县
benyue 本月
benbenzhuyi 本本主义
benbu 本埠
bence 本册
bendang 本当
bendao 本岛
bendi 本地
benfen 本分
bengai 本该
benguo 本国
benhang 本行
benji 本籍
benjia 本家
benjie 本届
benjin 本金
benjiu 本就
benke 本科
benkesheng 本科生
benlai 本来
benli 本利
benling 本领
benming 本名
benmingnian 本命年
benmo 本末
benmodaozhi 本末倒置
bennian 本年
benpiao 本票
benqian 本钱
benren 本人
benri 本日
bense 本色
benshai 本色
benshen 本身
bensheng 本省
benti 本题
benwei 本位
benweizhuyi 本位主义
benwen 本文
benxiang 本相
benxiao 本校
benxin 本心
benxing 本性
benye 本业
benyi 本义
benyuan 本愿
benzhang 本章
benzhe 本着
benzhi 本旨
benzhuer 本主儿
benzu 本族
bentouer 奔头儿
bendan 笨蛋
benhuoer 笨活儿
benniaoxianfei 笨鸟先飞
benshoubenjiao 笨手笨脚
bentoubennao 笨头笨脑
benzhong 笨重
benzhuo 笨拙
beng 嘣
bengjie 崩解
bengkui 崩溃
benglie 迸裂
bengluo 崩落
bengpan 崩盘
bengta 崩塌
bengtan 崩坍
bengdai 绷带
bengzi 绷子
benglian 绷脸
bengzhan 泵站
bengfa 迸发
bengjian 迸溅
bengchuang 蹦床
benggao 蹦高
bengji 蹦极
bengtiao 蹦跳
bi 滗
bigong 逼供
bigongxin 逼供信
bihe 逼和
bihun 逼婚
bijin 逼近
biliangweichang 逼良为娼
bipo 逼迫
biqiang 逼抢
biren 鄙人
bishangliangshan 逼上梁山
bishi 壁饰
biwen 逼问
bizhai 笔债
bizhen 逼真
biqi 闭气
biyi 笔译
bichi 鼻翅
bidou 鼻窦
bidouyan 鼻窦炎
bier 鼻儿
bijian 鄙见
bikong 碧空
biliang 比量
biqinglianzhong 鼻青脸肿
bise 鼻塞
biti 笔体
bitou 鼻头
bixi 笔洗
bixue 鼻血
biyan 鼻炎
biyanhu 鼻烟壶
biyin 庇荫
bizi 篦子
biziyaner 鼻子眼儿
bizu 鼻祖
bishou 匕首
bifang 比方
bilichi 比例尺
bibijieshi 比比皆是
bibushang 比不上
bideshang 比得上
bifen 比分
bifu 比附
bihua 笔画
bijini 比基尼
biji 比及
bijia 笔架
bijiao 比较
bili 笔立
bilin 比邻
bilv 比率
bimei 比美
bimuyu 比目鱼
bini 比拟
biqiu 比丘
biqiuni 比丘尼
biru 比如
bisai 比赛
biwu 笔误
bixing 笔形
biyiniao 比翼鸟
biyiqifei 比翼齐飞
biyu 碧玉
bizhao 比照
bizhi 币制
bizhong 壁钟
bizuo 比作
bian 煸
bici 彼此
bigu 秕谷
bichu 壁橱
bidixia 笔底下
bidiao 笔调
biduan 笔端
bifa 笔伐
bifeng 笔锋
biganer 笔杆儿
biganzi 笔杆子
bigeng 笔耕
biguan 笔管
bihui 避讳
bijiben 笔记本
bijibendiannao 笔记本电脑
bilu 闭路
bimao 笔帽
biming 毙命
bimo 笔墨
bimoguansi 笔墨官司
bishun 笔顺
bisuan 笔算
bitan 壁毯
bitao 笔套
biting 笔挺
bitong 笔筒
bitouer 笔头儿
bixia 陛下
biyou 笔友
bizhan 笔战
bizhe 笔者
bizoulongshe 笔走龙蛇
bibo 毕剥
bilou 鄙陋
bisu 鄙俗
biding 必定
biyao 必要
bibei 必备
bidei 必得
bijiang 必将
biran 必然
biranxing 必然性
bisheng 必胜
bixiu 必修
bixiuke 必修课
bixu 必需
bixupin 必需品
biyaoxing 必要性
biyouzhilu 必由之路
bigongbijing 毕恭毕敬
bijing 闭经
biye 毕业
biyesheng 毕业生
biguansuoguo 闭关锁国
biguanzishou 闭关自守
bijuan 闭卷
bikou 闭口
biludianshi 闭路电视
bimen 闭门
bimengeng 闭门羹
bimensiguo 闭门思过
bimenzaoche 闭门造车
bimu 闭目
bimuci 闭幕词
bimuseting 闭目塞听
bimushi 闭幕式
