hai है
pradarshana प्रदर्शन
najara नज़र
giraphtaara गिरफ्तार
prabhaavita प्रभावित
rakhataa रखता
sapatti संपत्ति
vaastavika वास्तविक
salaaha सलाह
hala हल
khatare खतरे
asala असल
mastishka मस्तिष्क
sapano सपनों
ehasaasa एहसास
talavaara तलवार
bataataa बताता
sarasvatee सरस्वती
pyaaraa प्यारा
asabhava असंभव
sayukta संयुक्त
baarisha बारिश
padagaa पड़ेगा
chhodakara छोड़कर
badalaava बदलाव
chalegaa चलेगा
tikata टिकट
jeenaa जीना
kone कोने
jagadeesha जगदीश
priyaa प्रिया
phasa फंस
gaarda गार्ड
sameera समीर
liphta लिफ्ट
daakoo डाकू
jairee जैरी
netritva नेतृत्व
pratyeka प्रत्येक
maalooma मालूम
khataraa खतरा
haraa हरा
pareshaanee परेशानी
jaama जाम
durghatanaa दुर्घटना
misa मिस
paasaporta पासपोर्ट
paika पैक
baja बज
sharmilaa शर्मिला
daida डैड
haaphate हांफते
miraindo मिरैन्डो
prayaasa प्रयास
vana वन
keemata कीमत
haasila हासिल
saalo सालों
re रे
aatha आठ
lada लड़
labee लंबी
bananaa बनना
khelane खेलने
shaka शक
takaneeka तकनीक
bachchee बच्ची
bhookha भूख
baksa बॉक्स
shaktishaalee शक्तिशाली
hastaakshara हस्ताक्षर
lohe लोहे
saraahanaa सराहना
badamaasha बदमाश
divyaa दिव्या
steephana स्टीफन
duphrena डुफ्रेन
suparamaina सुपरमैन
aama आम
khaana खान
vyavasthaa व्यवस्था
geeta गीत
shuruaata शुरुआत
muha मुंह
kaisee कैसी
dukha दुख
khareeda खरीद
sabhaavanaa संभावना
khareedane खरीदने
chalanaa चलना
reda रेड
laata लात
taga तंग
kaaveree कावेरी
drona ड्रोन
matree मंत्री
pramukha प्रमुख
kaaryakrama कार्यक्रम
milakara मिलकर
nijee निजी
amerikee अमेरिकी
sharma शर्म
pushti पुष्टि
maja मज़ा
mulaakaata मुलाकात
maina मैन
traka ट्रक
yo यो
jaaga जाग
jemsa जेम्स
tavara टॉवर
edara एंडर
etona एंटोन
jisakaa जिसका
maana मान
sajaa सजा
varanaa वरना
bhaavanaa भावना
kinaare किनारे
kisane किसने
banaataa बनाता
vyaktigata व्यक्तिगत
dikhataa दिखता
smaarta स्मार्ट
saaikila साइकिल
nashe नशे
machhalee मछली
ullaghana उल्लंघन
bano बनो
rote रोते
upahaara उपहार
sharmidaa शर्मिंदा
chhipaa छिपा
loogaa लूंगा
kamaraa कमरा
nikalo निकलो
paropakaaree परोपकारी
bayaa बढ़िया
vishva विश्व
tahata तहत
laabha लाभ
chhaatra छात्र
sthaaneeya स्थानीय
videshee विदेशी
sagharsha संघर्ष
moola मूल
padha पढ़
durgaa दुर्गा
maasa मांस
dayaa दया
todane तोड़ने
nritya नृत्य
shata शॉट
khoonee खूनी
steeva स्टीव
mama मम
diga डिंग
jnyaana ज्ञान
aadhaara आधार
detee देती
banane बनने
kamee कमी
peta पेट
khaate खाते
paate पाते
chunaa चुना
baatacheeta बातचीत
pichhalee पिछली
traika ट्रैक
jokhima जोखिम
sainya सैन्य
shoonya शून्य
thaka थक
daadee दादी
naava नाव
bachaayaa बचाया
latakaa लटका
suprabhaata सुप्रभात
maiksa मैक्स
maartina मार्टिन
barlina बर्लिन
papee पपी
rukie रुकिए
ba बड़ा
avasara अवसर
jitanaa जितना
haalata हालत
drishya दृश्य
sujhaava सुझाव
dopahara दोपहर
apamaana अपमान
guroo गुरू
sharta शर्त
roosee रूसी
kaaro कारों
shivaa शिवा
bhoolanaa भूलना
po पो
virodha विरोध
mehanata मेहनत
niyama नियम
javaana जवान
puraskaara पुरस्कार
samasyaao समस्याओं
vishaala विशाल
dabaava दबाव
sooraja सूरज
supara सुपर
masheena मशीन
aadhe आधे
jaanavara जानवर
ena एन
pyaare प्यारे
samajhataa समझता
pakadane पकड़ने
nakaaraatmaka नकारात्मक
pakshee पक्षी
botala बोतल
taaigara टाइगर
shaitaana शैतान
maaranaa मारना
dastaka दस्तक
boodha बूढ़े
avishvasaneeya अविश्वसनीय
roko रोको
aju अजु
jisase जिससे
mausama मौसम
baato बातों
chalane चलने
kahatee कहती
lauta लौट
ekadama एकदम
sainiko सैनिकों
dauraa दौरा
bahaadura बहादुर
labaa लंबा
chaalaka चालक
ghaava घाव
khayaala खयाल
babee बॉबी
phila फिल
chillaatee चिल्लाती
philma फिल्म
maaga मांग
kedra केंद्र
balki बल्कि
lagaayaa लगाया
maamalaa मामला
jeetane जीतने
dhamakee धमकी
astitva अस्तित्व
ladana लंदन
aasheervaada आशीर्वाद
bachaava बचाव
rina ऋण
smriti स्मृति
milege मिलेंगे
kahege कहेंगे
chhaayaa छाया
ronaa रोना
rahasya रहस्य
haphte हफ्ते
adhere अंधेरे
akala अंकल
ade अंडे
dikhaao दिखाओ
jeba जेब
peete पीते
naaragee नारंगी
bhedayaa भेड़िया
paadaa पांडा
vena वेन
vika विक
sabadha संबंध
dekara देकर
rakhate रखते
chalee चली
rahege रहेंगे
darja दर्ज
gaada गाड़ी
loota लूट
aakaara आकार
aasaanee आसानी
pratikriyaa प्रतिक्रिया
bikree बिक्री
isane इसने
moda मोड़
jarurata जरुरत
sikhaayaa सिखाया
katautee कटौती
marammata मरम्मत
paita पैंट
kujee कुंजी
biyara बियर
gade गंदे
vaanara वानर
kreeptona क्रीप्टोण
rupaye रुपये
varga वर्ग
banaae बनाए
phala फल
banaaee बनाई
milegee मिलेगी
shera शेर
dhaga ढंग
maano मानो
saalaa साला
dhvani ध्वनि
gadhaa गधा
dhoola धूल
joote जूते
dheemee धीमी
kooda कूद
rasoee रसोई
agoothee अंगूठी
janee जॉनी
tonee टोनी
naailsa नाइल्स
sailee सैली
roorata ज़रूरत
vinseta विन्सेंट
anusaara अनुसार
shikshaa शिक्षा
vibhaaga विभाग
shabdo शब्दों
inhe इन्हें
prashikshana प्रशिक्षण
bhale भले
aakhira आखिर
anubhava अनुभव
shikaayata शिकायत
dikha दिख
adhikaariyo अधिकारियों
shuddha शुद्ध
jaanane जानने
dekhataa देखता
anurodha अनुरोध
kaana कान
baha बह
roshanee रोशनी
chhoo छू
sadeha संदेह
kaasha काश
barpha बर्फ
khareedaa खरीदा
gadha गंध
goliyo गोलियों
karnala कर्नल
daphana दफन
nikaalo निकालो
ugaliyo उंगलियों
chaarlsa चार्ल्स
jausa ज़ीउस
eliyaasa एलियास
poorna पूर्ण
veediyo वीडियो
jidagee जिंदगी
phoola फूल
uchita उचित
devataa देवता
jeene जीने
jaayege जायेंगे
puraanaa पुराना
chaaloo चालू
daasa दास
dosha दोष
nirbhara निर्भर
saale साले
savaara सवार
koriyaa कोरिया
sochane सोचने
dabala डबल
dikhaanaa दिखाना
lena लेन
janajaati जनजाति
karoo करूं
sthaanaatarita स्थानांतरित
mi मि
sushree सुश्री
aatmasamarpana आत्मसमर्पण
yaakooba याकूब
loisa लोइस
kheecho खींचो
lakee लड़की
soopara सूपर
sthaapita स्थापित
sahaayataa सहायता
jarooree जरूरी
moolya मूल्य
vistaara विस्तार
daura दौर
mittee मिट्टी
kapyootara कंप्यूटर
chaahiye चाहिये
jamaa जमा
chikitsaa चिकित्सा
abhyaasa अभ्यास
seetaa सीता
atariksha अंतरिक्ष
gardana गर्दन
ikatthaa इकट्ठा
kamaana कमान
kaarakhaane कारखाने
bheje भेजें
viktoriyaa विक्टोरिया
kela केल
vakara वॉकर
vidhaayaka विधायक
chaahe चाहे
bala बल
putra पुत्र
dama दम
trena ट्रेन
nadee नदी
aaegaa आएगा
mitra मित्र
pesha पेश
khola खोल
sahaayaka सहायक
chaavala चावल
blaka ब्लॉक
aakaasha आकाश
gussaa गुस्सा
pula पुल
kaanoonee कानूनी
geta गेट
doo दूँ
khaayaa खाया
tata तट
kaagaja कागज
adhikatama अधिकतम
majila मंजिल
pahuchane पहुँचने
shanivaara शनिवार
ginatee गिनती
bidu बिंदु
dveepa द्वीप
taajaa ताजा
chhodanaa छोड़ना
premikaa प्रेमिका
daraa डरा
chhee छी
seetee सीटी
chho छोड़
suaro सुअरों
bhairavaa भैरवा
madira मंदिर
unako उनको
bee बी
parinaama परिणाम
lagatee लगती
parameshvara परमेश्वर
rupae रुपए
pavitra पवित्र
atirikta अतिरिक्त
hajaaro हजारों
nivesha निवेश
majaa मजा
bhaashana भाषण
kaaryavaahee कार्यवाही
doshee दोषी
kaapha काफ़ी
adaalata अदालत
gaanaa गाना
paarka पार्क
sapheda सफेद
kamaala कमाल
behatareena बेहतरीन
lakada लकड़ी
aparaadhee अपराधी
saajhaa साझा
shishu शिशु
banaao बनाओ
jaanavaro जानवरों
ghatiyaa घटिया
ateeta अतीत
pasadeedaa पसंदीदा
seekhanaa सीखना
udhaara उधार
krisa क्रिस
baba बॉब
belaa बेला
majedaara मजेदार
chaalaaka चालाक
machhaliyaa मछलियां
jena जेन
elena एलेन
haarle हार्ले
emilee एमिली
vegaasa वेगास
bilee बिली
vota वोट
saphala सफल
tela तेल
aksara अक्सर
charchaa चर्चा
roja रोज
uddeshya उद्देश्य
kada कड़ी
